image_path,label
good_images\10_1_0_20161220222001459.jpg.chip.jpg,Good
bad_images\bad_10_1_0_20161220222001459.jpg.chip.jpg,Bad
good_images\10_1_0_20170103175323250.jpg.chip.jpg,Good
bad_images\bad_10_1_0_20170103175323250.jpg.chip.jpg,Bad
good_images\10_1_0_20170103200654246.jpg.chip.jpg,Good
bad_images\bad_10_1_0_20170103200654246.jpg.chip.jpg,Bad
good_images\10_1_0_20170109201728056.jpg.chip.jpg,Good
bad_images\bad_10_1_0_20170109201728056.jpg.chip.jpg,Bad
good_images\10_1_0_20170109202251032.jpg.chip.jpg,Good
bad_images\bad_10_1_0_20170109202251032.jpg.chip.jpg,Bad
good_images\10_1_0_20170109202346880.jpg.chip.jpg,Good
bad_images\bad_10_1_0_20170109202346880.jpg.chip.jpg,Bad
good_images\10_1_0_20170109203218966.jpg.chip.jpg,Good
bad_images\bad_10_1_0_20170109203218966.jpg.chip.jpg,Bad
good_images\10_1_0_20170109203245653.jpg.chip.jpg,Good
bad_images\bad_10_1_0_20170109203245653.jpg.chip.jpg,Bad
good_images\10_1_0_20170109203357787.jpg.chip.jpg,Good
bad_images\bad_10_1_0_20170109203357787.jpg.chip.jpg,Bad
good_images\10_1_0_20170109203427416.jpg.chip.jpg,Good
bad_images\bad_10_1_0_20170109203427416.jpg.chip.jpg,Bad
good_images\10_1_0_20170109203438428.jpg.chip.jpg,Good
bad_images\bad_10_1_0_20170109203438428.jpg.chip.jpg,Bad
good_images\10_1_0_20170109203501969.jpg.chip.jpg,Good
bad_images\bad_10_1_0_20170109203501969.jpg.chip.jpg,Bad
good_images\10_1_0_20170109203512075.jpg.chip.jpg,Good
bad_images\bad_10_1_0_20170109203512075.jpg.chip.jpg,Bad
good_images\10_1_0_20170109203556029.jpg.chip.jpg,Good
bad_images\bad_10_1_0_20170109203556029.jpg.chip.jpg,Bad
good_images\10_1_0_20170109203608654.jpg.chip.jpg,Good
bad_images\bad_10_1_0_20170109203608654.jpg.chip.jpg,Bad
good_images\10_1_0_20170109203642966.jpg.chip.jpg,Good
bad_images\bad_10_1_0_20170109203642966.jpg.chip.jpg,Bad
good_images\10_1_0_20170109203653735.jpg.chip.jpg,Good
bad_images\bad_10_1_0_20170109203653735.jpg.chip.jpg,Bad
good_images\10_1_0_20170109203759972.jpg.chip.jpg,Good
bad_images\bad_10_1_0_20170109203759972.jpg.chip.jpg,Bad
good_images\10_1_0_20170109203905538.jpg.chip.jpg,Good
bad_images\bad_10_1_0_20170109203905538.jpg.chip.jpg,Bad
good_images\10_1_0_20170109203917216.jpg.chip.jpg,Good
bad_images\bad_10_1_0_20170109203917216.jpg.chip.jpg,Bad
good_images\10_1_0_20170109203924076.jpg.chip.jpg,Good
bad_images\bad_10_1_0_20170109203924076.jpg.chip.jpg,Bad
good_images\10_1_0_20170109204148144.jpg.chip.jpg,Good
bad_images\bad_10_1_0_20170109204148144.jpg.chip.jpg,Bad
good_images\10_1_0_20170109204244904.jpg.chip.jpg,Good
bad_images\bad_10_1_0_20170109204244904.jpg.chip.jpg,Bad
good_images\10_1_0_20170109204255055.jpg.chip.jpg,Good
bad_images\bad_10_1_0_20170109204255055.jpg.chip.jpg,Bad
good_images\10_1_0_20170109204259563.jpg.chip.jpg,Good
bad_images\bad_10_1_0_20170109204259563.jpg.chip.jpg,Bad
good_images\10_1_0_20170109204338404.jpg.chip.jpg,Good
bad_images\bad_10_1_0_20170109204338404.jpg.chip.jpg,Bad
good_images\10_1_0_20170109204422889.jpg.chip.jpg,Good
bad_images\bad_10_1_0_20170109204422889.jpg.chip.jpg,Bad
good_images\10_1_0_20170109204435809.jpg.chip.jpg,Good
bad_images\bad_10_1_0_20170109204435809.jpg.chip.jpg,Bad
good_images\10_1_0_20170109204502951.jpg.chip.jpg,Good
bad_images\bad_10_1_0_20170109204502951.jpg.chip.jpg,Bad
good_images\10_1_0_20170109204617417.jpg.chip.jpg,Good
bad_images\bad_10_1_0_20170109204617417.jpg.chip.jpg,Bad
good_images\10_1_0_20170109204746535.jpg.chip.jpg,Good
bad_images\bad_10_1_0_20170109204746535.jpg.chip.jpg,Bad
good_images\10_1_0_20170109204844109.jpg.chip.jpg,Good
bad_images\bad_10_1_0_20170109204844109.jpg.chip.jpg,Bad
good_images\10_1_0_20170109204859493.jpg.chip.jpg,Good
bad_images\bad_10_1_0_20170109204859493.jpg.chip.jpg,Bad
good_images\10_1_0_20170109204931156.jpg.chip.jpg,Good
bad_images\bad_10_1_0_20170109204931156.jpg.chip.jpg,Bad
good_images\10_1_0_20170109205003280.jpg.chip.jpg,Good
bad_images\bad_10_1_0_20170109205003280.jpg.chip.jpg,Bad
good_images\10_1_0_20170109205134282.jpg.chip.jpg,Good
bad_images\bad_10_1_0_20170109205134282.jpg.chip.jpg,Bad
good_images\10_1_0_20170109205141310.jpg.chip.jpg,Good
bad_images\bad_10_1_0_20170109205141310.jpg.chip.jpg,Bad
good_images\10_1_0_20170109205208368.jpg.chip.jpg,Good
bad_images\bad_10_1_0_20170109205208368.jpg.chip.jpg,Bad
good_images\10_1_0_20170110220649364.jpg.chip.jpg,Good
bad_images\bad_10_1_0_20170110220649364.jpg.chip.jpg,Bad
good_images\10_1_1_20170109202938302.jpg.chip.jpg,Good
bad_images\bad_10_1_1_20170109202938302.jpg.chip.jpg,Bad
good_images\10_1_1_20170109203348828.jpg.chip.jpg,Good
bad_images\bad_10_1_1_20170109203348828.jpg.chip.jpg,Bad
good_images\10_1_1_20170109203520178.jpg.chip.jpg,Good
bad_images\bad_10_1_1_20170109203520178.jpg.chip.jpg,Bad
good_images\10_1_1_20170109203522559.jpg.chip.jpg,Good
bad_images\bad_10_1_1_20170109203522559.jpg.chip.jpg,Bad
good_images\10_1_1_20170109204636561.jpg.chip.jpg,Good
bad_images\bad_10_1_1_20170109204636561.jpg.chip.jpg,Bad
good_images\10_1_1_20170110225155603.jpg.chip.jpg,Good
bad_images\bad_10_1_1_20170110225155603.jpg.chip.jpg,Bad
good_images\10_1_2_20170103201007646.jpg.chip.jpg,Good
bad_images\bad_10_1_2_20170103201007646.jpg.chip.jpg,Bad
good_images\10_1_2_20170104005417671.jpg.chip.jpg,Good
bad_images\bad_10_1_2_20170104005417671.jpg.chip.jpg,Bad
good_images\10_1_2_20170109201545634.jpg.chip.jpg,Good
bad_images\bad_10_1_2_20170109201545634.jpg.chip.jpg,Bad
good_images\10_1_2_20170109205037024.jpg.chip.jpg,Good
bad_images\bad_10_1_2_20170109205037024.jpg.chip.jpg,Bad
good_images\10_1_3_20170104221633430.jpg.chip.jpg,Good
bad_images\bad_10_1_3_20170104221633430.jpg.chip.jpg,Bad
good_images\10_1_3_20170104221645430.jpg.chip.jpg,Good
bad_images\bad_10_1_3_20170104221645430.jpg.chip.jpg,Bad
good_images\10_1_3_20170104221711437.jpg.chip.jpg,Good
bad_images\bad_10_1_3_20170104221711437.jpg.chip.jpg,Bad
good_images\10_1_3_20170109203848078.jpg.chip.jpg,Good
bad_images\bad_10_1_3_20170109203848078.jpg.chip.jpg,Bad
good_images\10_1_3_20170109205323078.jpg.chip.jpg,Good
bad_images\bad_10_1_3_20170109205323078.jpg.chip.jpg,Bad
good_images\10_1_4_20161223225854867.jpg.chip.jpg,Good
bad_images\bad_10_1_4_20161223225854867.jpg.chip.jpg,Bad
good_images\10_1_4_20161223225900460.jpg.chip.jpg,Good
bad_images\bad_10_1_4_20161223225900460.jpg.chip.jpg,Bad
good_images\10_1_4_20170103200950879.jpg.chip.jpg,Good
bad_images\bad_10_1_4_20170103200950879.jpg.chip.jpg,Bad
good_images\10_1_4_20170104005649671.jpg.chip.jpg,Good
bad_images\bad_10_1_4_20170104005649671.jpg.chip.jpg,Bad
good_images\110_1_1_20170110155201038.jpg.chip.jpg,Good
bad_images\bad_110_1_1_20170110155201038.jpg.chip.jpg,Bad
good_images\110_1_3_20170110155139762.jpg.chip.jpg,Good
bad_images\bad_110_1_3_20170110155139762.jpg.chip.jpg,Bad
good_images\11_0_0_20170103200509559.jpg.chip.jpg,Good
bad_images\bad_11_0_0_20170103200509559.jpg.chip.jpg,Bad
good_images\11_0_0_20170103200824775.jpg.chip.jpg,Good
bad_images\bad_11_0_0_20170103200824775.jpg.chip.jpg,Bad
good_images\11_0_0_20170104012556563.jpg.chip.jpg,Good
bad_images\bad_11_0_0_20170104012556563.jpg.chip.jpg,Bad
good_images\11_0_0_20170110220408722.jpg.chip.jpg,Good
bad_images\bad_11_0_0_20170110220408722.jpg.chip.jpg,Bad
good_images\11_0_0_20170110220453002.jpg.chip.jpg,Good
bad_images\bad_11_0_0_20170110220453002.jpg.chip.jpg,Bad
good_images\11_0_0_20170110220500946.jpg.chip.jpg,Good
bad_images\bad_11_0_0_20170110220500946.jpg.chip.jpg,Bad
good_images\11_0_0_20170110220518578.jpg.chip.jpg,Good
bad_images\bad_11_0_0_20170110220518578.jpg.chip.jpg,Bad
good_images\11_0_0_20170110220657089.jpg.chip.jpg,Good
bad_images\bad_11_0_0_20170110220657089.jpg.chip.jpg,Bad
good_images\11_0_0_20170110220710576.jpg.chip.jpg,Good
bad_images\bad_11_0_0_20170110220710576.jpg.chip.jpg,Bad
good_images\11_0_0_20170110224233654.jpg.chip.jpg,Good
bad_images\bad_11_0_0_20170110224233654.jpg.chip.jpg,Bad
good_images\11_0_0_20170110224340941.jpg.chip.jpg,Good
bad_images\bad_11_0_0_20170110224340941.jpg.chip.jpg,Bad
good_images\11_0_0_20170110224408700.jpg.chip.jpg,Good
bad_images\bad_11_0_0_20170110224408700.jpg.chip.jpg,Bad
good_images\11_0_0_20170110224505551.jpg.chip.jpg,Good
bad_images\bad_11_0_0_20170110224505551.jpg.chip.jpg,Bad
good_images\11_0_0_20170110224606036.jpg.chip.jpg,Good
bad_images\bad_11_0_0_20170110224606036.jpg.chip.jpg,Bad
good_images\11_0_0_20170110224742037.jpg.chip.jpg,Good
bad_images\bad_11_0_0_20170110224742037.jpg.chip.jpg,Bad
good_images\11_0_0_20170110224755272.jpg.chip.jpg,Good
bad_images\bad_11_0_0_20170110224755272.jpg.chip.jpg,Bad
good_images\11_0_0_20170110225254975.jpg.chip.jpg,Good
bad_images\bad_11_0_0_20170110225254975.jpg.chip.jpg,Bad
good_images\11_0_0_20170110225327724.jpg.chip.jpg,Good
bad_images\bad_11_0_0_20170110225327724.jpg.chip.jpg,Bad
good_images\11_0_0_20170110225435539.jpg.chip.jpg,Good
bad_images\bad_11_0_0_20170110225435539.jpg.chip.jpg,Bad
good_images\11_0_0_20170110225459361.jpg.chip.jpg,Good
bad_images\bad_11_0_0_20170110225459361.jpg.chip.jpg,Bad
good_images\11_0_0_20170110232511893.jpg.chip.jpg,Good
bad_images\bad_11_0_0_20170110232511893.jpg.chip.jpg,Bad
good_images\11_0_1_20170103201136230.jpg.chip.jpg,Good
bad_images\bad_11_0_1_20170103201136230.jpg.chip.jpg,Bad
good_images\11_0_2_20170103200847287.jpg.chip.jpg,Good
bad_images\bad_11_0_2_20170103200847287.jpg.chip.jpg,Bad
good_images\11_0_3_20170104013250186.jpg.chip.jpg,Good
bad_images\bad_11_0_3_20170104013250186.jpg.chip.jpg,Bad
good_images\11_0_3_20170104230222352.jpg.chip.jpg,Good
bad_images\bad_11_0_3_20170104230222352.jpg.chip.jpg,Bad
good_images\11_0_4_20170103200621488.jpg.chip.jpg,Good
bad_images\bad_11_0_4_20170103200621488.jpg.chip.jpg,Bad
good_images\11_1_0_20170103200517422.jpg.chip.jpg,Good
bad_images\bad_11_1_0_20170103200517422.jpg.chip.jpg,Bad
good_images\11_1_0_20170109203319557.jpg.chip.jpg,Good
bad_images\bad_11_1_0_20170109203319557.jpg.chip.jpg,Bad
good_images\11_1_0_20170109203327397.jpg.chip.jpg,Good
bad_images\bad_11_1_0_20170109203327397.jpg.chip.jpg,Bad
good_images\11_1_0_20170109203353740.jpg.chip.jpg,Good
bad_images\bad_11_1_0_20170109203353740.jpg.chip.jpg,Bad
good_images\11_1_0_20170109203400684.jpg.chip.jpg,Good
bad_images\bad_11_1_0_20170109203400684.jpg.chip.jpg,Bad
good_images\11_1_0_20170109203422194.jpg.chip.jpg,Good
bad_images\bad_11_1_0_20170109203422194.jpg.chip.jpg,Bad
good_images\11_1_0_20170109203919852.jpg.chip.jpg,Good
bad_images\bad_11_1_0_20170109203919852.jpg.chip.jpg,Bad
good_images\11_1_0_20170109204030951.jpg.chip.jpg,Good
bad_images\bad_11_1_0_20170109204030951.jpg.chip.jpg,Bad
good_images\11_1_0_20170109204123358.jpg.chip.jpg,Good
bad_images\bad_11_1_0_20170109204123358.jpg.chip.jpg,Bad
good_images\11_1_0_20170109204523092.jpg.chip.jpg,Good
bad_images\bad_11_1_0_20170109204523092.jpg.chip.jpg,Bad
good_images\11_1_0_20170109204546617.jpg.chip.jpg,Good
bad_images\bad_11_1_0_20170109204546617.jpg.chip.jpg,Bad
good_images\11_1_0_20170109204611305.jpg.chip.jpg,Good
bad_images\bad_11_1_0_20170109204611305.jpg.chip.jpg,Bad
good_images\11_1_0_20170109204614249.jpg.chip.jpg,Good
bad_images\bad_11_1_0_20170109204614249.jpg.chip.jpg,Bad
good_images\11_1_0_20170109204641514.jpg.chip.jpg,Good
bad_images\bad_11_1_0_20170109204641514.jpg.chip.jpg,Bad
good_images\11_1_0_20170109204833458.jpg.chip.jpg,Good
bad_images\bad_11_1_0_20170109204833458.jpg.chip.jpg,Bad
good_images\11_1_0_20170109204927071.jpg.chip.jpg,Good
bad_images\bad_11_1_0_20170109204927071.jpg.chip.jpg,Bad
good_images\11_1_0_20170109205013531.jpg.chip.jpg,Good
bad_images\bad_11_1_0_20170109205013531.jpg.chip.jpg,Bad
good_images\11_1_0_20170109205122664.jpg.chip.jpg,Good
bad_images\bad_11_1_0_20170109205122664.jpg.chip.jpg,Bad
good_images\11_1_0_20170109205125500.jpg.chip.jpg,Good
bad_images\bad_11_1_0_20170109205125500.jpg.chip.jpg,Bad
good_images\11_1_0_20170109205136852.jpg.chip.jpg,Good
bad_images\bad_11_1_0_20170109205136852.jpg.chip.jpg,Bad
good_images\11_1_0_20170109205211093.jpg.chip.jpg,Good
bad_images\bad_11_1_0_20170109205211093.jpg.chip.jpg,Bad
good_images\11_1_0_20170109205214234.jpg.chip.jpg,Good
bad_images\bad_11_1_0_20170109205214234.jpg.chip.jpg,Bad
good_images\11_1_0_20170109205216790.jpg.chip.jpg,Good
bad_images\bad_11_1_0_20170109205216790.jpg.chip.jpg,Bad
good_images\11_1_0_20170109205247087.jpg.chip.jpg,Good
bad_images\bad_11_1_0_20170109205247087.jpg.chip.jpg,Bad
good_images\11_1_0_20170109205438571.jpg.chip.jpg,Good
bad_images\bad_11_1_0_20170109205438571.jpg.chip.jpg,Bad
good_images\11_1_0_20170109205441860.jpg.chip.jpg,Good
bad_images\bad_11_1_0_20170109205441860.jpg.chip.jpg,Bad
good_images\11_1_0_20170110224810583.jpg.chip.jpg,Good
bad_images\bad_11_1_0_20170110224810583.jpg.chip.jpg,Bad
good_images\11_1_1_20170109203712835.jpg.chip.jpg,Good
bad_images\bad_11_1_1_20170109203712835.jpg.chip.jpg,Bad
good_images\11_1_2_20170104005111615.jpg.chip.jpg,Good
bad_images\bad_11_1_2_20170104005111615.jpg.chip.jpg,Bad
good_images\11_1_3_20170104222911112.jpg.chip.jpg,Good
bad_images\bad_11_1_3_20170104222911112.jpg.chip.jpg,Bad
good_images\11_1_3_20170104223632543.jpg.chip.jpg,Good
bad_images\bad_11_1_3_20170104223632543.jpg.chip.jpg,Bad
good_images\11_1_4_20161223225953124.jpg.chip.jpg,Good
bad_images\bad_11_1_4_20161223225953124.jpg.chip.jpg,Bad
good_images\11_1_4_20170103201747167.jpg.chip.jpg,Good
bad_images\bad_11_1_4_20170103201747167.jpg.chip.jpg,Bad
good_images\11_1_4_20170103212554964.jpg.chip.jpg,Good
bad_images\bad_11_1_4_20170103212554964.jpg.chip.jpg,Bad
good_images\11_1_4_20170103233340363.jpg.chip.jpg,Good
bad_images\bad_11_1_4_20170103233340363.jpg.chip.jpg,Bad
good_images\11_1_4_20170104005813063.jpg.chip.jpg,Good
bad_images\bad_11_1_4_20170104005813063.jpg.chip.jpg,Bad
good_images\11_1_4_20170109201611941.jpg.chip.jpg,Good
bad_images\bad_11_1_4_20170109201611941.jpg.chip.jpg,Bad
good_images\12_0_0_20170103200900511.jpg.chip.jpg,Good
